course_id,title,content,lesson_type,order_index,duration_minutes,code_template,expected_output
1,"Introduction to HTML","Learn what HTML is and how it structures web content. HTML (HyperText Markup Language) is the standard markup language for creating web pages.","text",1,30,"<!DOCTYPE html>\n<html>\n<head>\n    <title>My First Page</title>\n</head>\n<body>\n    <h1>Hello World!</h1>\n</body>\n</html>","A web page displaying 'Hello World!' as a heading"
1,"HTML Document Structure","Understanding the basic structure of HTML documents including DOCTYPE, html, head, and body elements.","interactive",2,45,"<!DOCTYPE html>\n<html>\n<head>\n    <title>Document Structure</title>\n</head>\n<body>\n    <!-- Your content here -->\n</body>\n</html>","Well-structured HTML document"
1,"Common HTML Elements","Learn about headings, paragraphs, links, images, and other common HTML elements.","interactive",3,40,"<h1>Main Heading</h1>\n<h2>Subheading</h2>\n<p>This is a paragraph.</p>\n<a href='#'>This is a link</a>","Page with various HTML elements properly structured"
1,"HTML Forms and Input","Create interactive forms with various input types and form validation.","interactive",4,50,"<form>\n    <input type='text' placeholder='Name'>\n    <input type='email' placeholder='Email'>\n    <button type='submit'>Submit</button>\n</form>","Functional contact form"
1,"Semantic HTML","Learn about semantic HTML elements like header, nav, main, section, article, and footer.","text",5,35,"<header>\n    <nav>Navigation</nav>\n</header>\n<main>\n    <article>Content</article>\n</main>\n<footer>Footer</footer>","Semantically structured webpage"
2,"CSS Basics and Selectors","Introduction to CSS syntax, selectors, and basic styling properties.","interactive",6,40,"h1 {\n    color: blue;\n    font-size: 24px;\n}\n\np {\n    color: gray;\n    line-height: 1.5;\n}","Styled HTML elements with colors and fonts"
2,"Box Model and Layout","Understanding the CSS box model: margin, border, padding, and content.","interactive",7,45,"div {\n    width: 200px;\n    padding: 20px;\n    border: 1px solid black;\n    margin: 10px;\n}","Boxes demonstrating the box model"
2,"Flexbox Layout","Learn CSS Flexbox for creating flexible and responsive layouts.","interactive",8,50,"display: flex;\njustify-content: center;\nalign-items: center;\nflex-direction: row;","Responsive flexbox layout"
2,"CSS Grid Layout","Master CSS Grid for creating complex two-dimensional layouts.","interactive",9,55,"display: grid;\ngrid-template-columns: 1fr 2fr 1fr;\ngrid-gap: 20px;","Complex grid-based layout"
2,"Responsive Design","Create websites that work on all devices using media queries and responsive units.","interactive",10,60,"@media (max-width: 768px) {\n    .container {\n        flex-direction: column;\n    }\n}","Mobile-responsive website"
